source_key,source_table,parquet_name,rows,status,error,written_at
caixa_002_2017_bases_relat_rio_executivo_ago2017.csv,caixa_002_2017_bases_relat_rio_executivo_ago2017,caixa_002_2017_bases_relat_rio_executivo_ago2017.parquet,44755,success,,2026-08-31T13:19:32.664129+00:00
caixa_002_2015_07_julho_bext_31072015.csv,caixa_002_2015_07_julho_bext_31072015,caixa_002_2015_07_julho_bext_31072015.parquet,510334,success,,2026-08-31T13:23:03.039061+00:00
caixa_002_2017_bases_relat_rio_executivo_fev2017.csv,caixa_002_2017_bases_relat_rio_executivo_fev2017,caixa_002_2017_bases_relat_rio_executivo_fev2017.parquet,42861,success,,2026-08-31T13:25:47.557494+00:00
caixa_002_2017_bases_relat_rio_executivo_dez17.csv,caixa_002_2017_bases_relatório_executivo_dez17,caixa_002_2017_bases_relatório_executivo_dez17.parquet,47883,success,,2026-08-31T13:26:32.227706+00:00
caixa_002_2015_12_dezembro_bext_31122015.csv,caixa_002_2015_12_dezembro_bext_31122015,caixa_002_2015_12_dezembro_bext_31122015.parquet,531575,success,,2026-08-31T13:29:40.252791+00:00
caixa_002_2016_bext_31122016.csv,caixa_002_2016_bext_31122016,caixa_002_2016_bext_31122016.parquet,565557,success,,2026-08-31T13:45:00.352781+00:00
caixa_002_2017_bext_ago2017.csv,caixa_002_2017_bext_ago2017,caixa_002_2017_bext_ago2017.parquet,578078,success,,2026-08-31T14:00:50.981412+00:00
caixa_002_2017_bext_fev2017.csv,caixa_002_2017_bext_fev2017,caixa_002_2017_bext_fev2017.parquet,567468,success,,2026-08-31T14:04:06.083611+00:00
caixa_002_2017_bext_dez17.csv,caixa_002_2017_bext_dez17,caixa_002_2017_bext_dez17.parquet,584348,success,,2026-08-31T14:04:47.453439+00:00
caixa_002_2017_bext_abr2017.csv,caixa_002_2017_bext_abr2017,caixa_002_2017_bext_abr2017.parquet,569426,success,,2026-08-31T14:07:16.045370+00:00
caixa_002_2018_bases_relat_rio_executivo_abr2018_v2.csv,caixa_002_2018_bases_relat_rio_executivo_abr2018_v2,caixa_002_2018_bases_relat_rio_executivo_abr2018_v2.parquet,51145,success,,2026-08-31T14:08:26.804474+00:00
caixa_002_2018_bases_relat_rio_executivo_mai2018.csv,caixa_002_2018_bases_relat_rio_executivo_mai2018,caixa_002_2018_bases_relat_rio_executivo_mai2018.parquet,51545,success,,2026-08-31T14:09:53.789273+00:00
caixa_002_2018_bases_relat_rio_executivo_jun2018.csv,caixa_002_2018_bases_relat_rio_executivo_jun2018,caixa_002_2018_bases_relat_rio_executivo_jun2018.parquet,51957,success,,2026-08-31T14:11:19.437907+00:00
caixa_002_2018_bases_relat_rio_executivo_mar18.csv,caixa_002_2018_bases_relat_rio_executivo_mar18,caixa_002_2018_bases_relat_rio_executivo_mar18.parquet,49153,success,,2026-08-31T14:13:35.499161+00:00
